lo_orderkey|lo_linenumber|lo_custkey|lo_partkey|lo_suppkey|lo_orderdate|lo_orderpriority|lo_shippriority|lo_quantity|lo_extendedprice|lo_ordertotalprice|lo_discount|lo_revenue|lo_supplycost|lo_tax|lo_commitdate|lo_shipmode
1|1|25|156|1|19931014|5-LOW|0|17|1795455|13125181|4|1723636|63369|2|19931124|TRUCK
1|1|25|156|1|19931014|5-LOW|0|17|1795455|13125181|4|1723636|10000|2|19931124|TRUCK
1|2|25|68|1|19931014|5-LOW|0|36|3485016|13125181|9|3171364|58083|6|19931210|MAIL
1|3|25|64|1|19931014|5-LOW|0|8|771248|13125181|10|694123|57843|2|19931216|REG AIR
1|4|25|3|1|19931014|5-LOW|0|28|2528400|13125181|9|2300844|54180|6|19940110|AIR
1|5|25|25|2|19931014|5-LOW|0|24|2220048|13125181|10|1998043|55501|4|19931225|FOB
1|6|25|16|2|19931014|5-LOW|0|32|2931232|13125181|7|2726045|54960|2|19931119|MAIL
2|1|28|107|2|19951011|5-LOW|0|38|3826980|4018329|0|3826980|60426|5|19951124|RAIL
3|1|10|5|2|19940730|5-LOW|0|45|4072500|10680177|6|3828150|54300|0|19941020|AIR
3|2|10|20|2|19940730|5-LOW|0|49|4508098|10680177|10|4057288|55201|0|19941005|RAIL
3|3|10|129|2|19940730|5-LOW|0|27|2778624|10680177|6|2611906|61747|7|19940907|SHIP
4|1|13|89|2|19920221|4-NOT SPECI|0|30|2967240|3108479|3|2878222|59344|8|19920425|REG AIR
5|1|8|109|1|19960110|2-HIGH|0|15|1513650|14874142|2|1483377|60546|4|19960211|AIR
5|2|8|124|1|19960110|2-HIGH|0|26|2662712|14874142|7|2476322|61447|8|19960307|FOB
5|3|8|38|1|19960110|2-HIGH|0|50|4690150|14874142|8|4314938|56281|3|19960325|AIR
5|4|8|170|1|19960110|2-HIGH|0|7|749119|14874142|1|741627|64210|4|19960408|MAIL
5|5|8|7|1|19960110|2-HIGH|0|5|453500|14874142|6|426290|54420|6|19960408|TRUCK
5|6|8|147|1|19960110|2-HIGH|0|23|2408422|14874142|10|2167579|62828|4|19960404|SHIP
5|7|8|108|1|19960110|2-HIGH|0|28|2822680|14874142|5|2681546|60486|2|19960302|SHIP
6|1|28|140|1|19950716|2-HIGH|0|37|3848518|17306124|8|3540636|62408|3|19951008|TRUCK
6|2|28|54|1|19950716|2-HIGH|0|14|1335670|17306124|8|1228816|57243|0|19950902|RAIL
6|3|28|64|2|19950716|2-HIGH|0|47|4531082|17306124|7|4213906|57843|0|19950929|AIR
6|4|28|173|2|19950716|2-HIGH|0|17|1824389|17306124|6|1714925|64390|5|19951007|TRUCK
6|5|28|139|2|19950716|2-HIGH|0|32|3325216|17306124|10|2992694|62347|2|19951012|AIR
6|6|28|170|2|19950716|2-HIGH|0|30|3210510|17306124|3|3114194|64210|8|19951011|TRUCK
7|1|14|183|2|19931027|3-MEDIUM|0|12|1299816|9594508|7|1208828|64990|3|19931229|FOB
7|2|14|146|1|19931027|3-MEDIUM|0|9|941526|9594508|8|866203|62768|8|19931218|SHIP
7|3|14|95|2|19931027|3-MEDIUM|0|46|4577414|9594508|10|4119672|59705|7|19940112|MAIL
7|4|14|164|1|19931027|3-MEDIUM|0|28|2979648|9594508|3|2890258|63849|4|19940124|FOB
32|1|13|83|2|19980721|3-MEDIUM|0|28|2752624|6443550|5|2614992|58984|8|19980901|TRUCK
32|2|13|198|1|19980721|3-MEDIUM|0|32|3514208|6443550|2|3443923|65891|0|19981012|AIR
32|3|13|45|1|19980721|3-MEDIUM|0|2|189008|6443550|9|171997|56702|2|19981012|AIR
33|1|26|62|2|19951023|4-NOT SPECI|0|31|2982386|14410287|9|2713971|57723|4|19951215|TRUCK
33|2|26|61|2|19951023|4-NOT SPECI|0|32|3075392|14410287|2|3013884|57663|5|19951231|MAIL
33|3|26|138|1|19951023|4-NOT SPECI|0|5|519065|14410287|5|493111|62287|3|19951221|AIR
33|4|26|34|1|19951023|4-NOT SPECI|0|41|3829523|14410287|9|3484865|56041|0|19960120|MAIL
33|5|26|52|2|19951023|4-NOT SPECI|0|9|856845|14410287|8|788297|57123|7|19951214|AIR
33|6|26|65|1|19951023|4-NOT SPECI|0|40|3860240|14410287|8|3551420|57903|1|19960103|MAIL
34|1|25|89|1|19951103|1-URGENT|0|13|1285804|1375810|0|1285804|59344|7|19951228|REG AIR
35|1|19|1|1|19920603|3-MEDIUM|0|24|2162400|6484159|2|2119152|54060|0|19920814|FOB
35|2|19|162|1|19920603|3-MEDIUM|0|34|3611344|6484159|6|3394663|63729|8|19920817|RAIL
35|3|19|121|2|19920603|3-MEDIUM|0|7|714784|6484159|6|671896|61267|4|19920802|MAIL
36|1|25|120|1|19960821|4-NOT SPECI|0|42|4284504|3898898|9|3898898|61207|0|19961108|SHIP
37|1|17|23|1|19960920|3-MEDIUM|0|40|3692080|24400389|9|3359792|55381|3|19961118|REG AIR
37|2|17|127|2|19960920|3-MEDIUM|0|39|4005768|24400389|5|3805479|61627|2|19961205|RAIL
37|3|17|13|1|19960920|3-MEDIUM|0|43|3925943|24400389|5|3729645|54780|8|19961023|TRUCK
37|4|17|60|2|19960920|3-MEDIUM|0|40|3840240|24400389|3|3725032|57603|5|19961129|FOB
37|5|17|88|2|19960920|3-MEDIUM|0|45|4446360|24400389|1|4401896|59284|1|19961216|TRUCK
37|6|17|187|2|19960920|3-MEDIUM|0|43|4674874|24400389|2|4581376|65230|2|19961022|REG AIR
38|1|7|176|2|19940716|3-MEDIUM|0|44|4735148|4636656|4|4545742|64570|2|19941012|MAIL
